rain,from,to,count
1,greenwich village,lower east side,1
1,chelsea,upper west side,1
1,little italy,financial district,1
1,fort green,bedford-stuyvesant,1
1,greenwich village,west village,1
1,west village,lower east side,1
1,murray hill,clinton,1
1,lower east side,east village,2
1,greenwich village,murray hill,1
1,fort green,fort green,1
1,chelsea,harlem,1
1,chelsea,washington heights,1
1,upper west side,harlem,2
1,greenwich village,gramercy,1
1,greenwich village,sunset park,1
1,upper west side,murray hill,1
1,gramercy,clinton,1
1,williamsburg,bedford-stuyvesant,1
1,east village,bushwick,1
1,west village,upper east side,1
1,west village,greenwich village,1
1,greenwich village,bedford-stuyvesant,1
1,upper east side,central park,1
1,gramercy,lower east side,1
1,soho,upper east side,1
1,lower east side,williamsburg,1
1,murray hill,east village,1
1,upper west side,midtown,2
1,west village,park slope,1
1,central park,hamilton heights,1
1,midtown,yorkville,1
1,midtown,upper west side,2
1,upper east side,upper west side,1
1,mott haven,midtown,1
1,midtown,financial district,1
1,lower east side,boerum hill,1
1,williamsburg,woodside,1
1,west village,murray hill,1
1,garment district,greenwich village,1
1,chelsea,gramercy,2
1,west village,midtown,3
1,clinton,garment district,1
1,chelsea,bensonhurst,1
1,upper east side,battery park,1
1,sunny side,flushing,1
1,midtown,chelsea,3
1,upper east side,upper east side,3
1,gramercy,east village,3
1,clinton,north sutton area,1
1,midtown,jackson height,1
1,west village,clinton,1
1,financial district,yorkville,1
1,bedford-stuyvesant,bedford-stuyvesant,1
1,garment district,upper east side,1
1,west village,east village,1
1,soho,lower east side,1
1,gramercy,midtown,5
1,williamsburg,upper east side,1
1,upper east side,woodside,1
1,midtown,washington heights,1
1,midtown,midtown,3
1,harlem,harlem,1
1,midtown,gramercy,5
1,financial district,battery park,1
1,chelsea,chelsea,3
1,greenwich village,clinton,1
1,tribeca,astoria-long island city,1
1,murray hill,battery park,1
1,east village,greenwich village,5
1,tribeca,gravesend-sheepshead bay,1
1,clinton,murray hill,2
1,upper east side,midtown,4
1,garment district,morris heights,1
1,greenwich village,williamsburg,2
1,financial district,chelsea,1
1,chelsea,williamsburg,1
1,williamsburg,midtown,1
1,astoria-long island city,astoria-long island city,3
1,midtown,mapleton-flatlands,1
1,harlem,hamilton heights,1
1,gramercy,gramercy,2
1,lower east side,soho,1
1,midtown,greenwich village,2
1,upper east side,clinton,1
1,midtown,upper east side,2
1,bushwick,bushwick,1
1,murray hill,garment district,1
1,little italy,park slope,1
1,chelsea,brooklyn-downtown,1
1,lower east side,upper east side,1
1,east village,tribeca,1
1,chelsea,fort green,1
1,garment district,hamilton heights,1
1,midtown,garment district,1
1,hamilton heights,bedford-stuyvesant,1
1,JFK,bushwick,1
1,soho,greenwich village,1
1,upper west side,JFK,1
1,gramercy,chelsea,1
1,chinatown,north sutton area,1
1,greenwich village,financial district,1
1,west village,gramercy,1
1,midtown,west village,1
1,west village,williamsburg,1
1,garment district,upper west side,2
1,hamilton heights,mott haven,1
1,upper west side,washington heights,1
1,little italy,borough park,1
1,greenwich village,brooklyn-downtown,1
