temp,from,to,count
2,JFK,richmondtown,1
2,LGA,morningside heights,5
2,upper west side,ridgewood,1
2,chelsea,chinatown,2
2,little italy,financial district,1
2,chelsea,morris heights,1
2,JFK,midtown,85
2,little italy,upper east side,3
2,LGA,east village,11
2,carnegie hill,soho,3
2,west village,LGA,2
2,gramercy,east harlem,2
2,fort green,JFK,1
2,JFK,little neck,2
2,LGA,tribeca,6
2,astoria-long island city,kwq gardens,1
2,battery park,tribeca,7
2,garment district,soho,16
2,central park,harlem,7
2,upper west side,riverdale,1
2,morningside heights,central park,1
2,upper east side,brooklyn-downtown,2
2,yorkville,murray hill,1
2,gramercy,clinton,22
2,gramercy,kwq gardens,1
2,upper east side,north sutton area,22
2,greenwich village,north sutton area,1
2,queensboro hill,queensboro hill,2
2,yorkville,lower east side,1
2,west village,greenwich village,16
2,midtown,soho,34
2,upper east side,central park,48
2,LGA,flushing,3
2,north sutton area,murray hill,7
2,tribeca,carroll gardens,2
2,soho,upper east side,11
2,JFK,laurelton,2
2,lower east side,chinatown,3
2,central park,murray hill,5
2,JFK,woodhaven-richmond hill,1
2,boerum hill,brooklyn-downtown,2
2,harlem,mott haven,2
2,midtown,yorkville,15
2,east village,LGA,5
2,lower east side,financial district,5
2,carnegie hill,forest hills,1
2,east harlem,gramercy,1
2,soho,financial district,13
2,brooklyn-downtown,east village,1
2,harlem,yorkville,1
2,gramercy,tribeca,24
2,lower east side,clinton,7
2,garment district,greenwich village,16
2,west village,little italy,4
2,midtown,washington heights,3
2,north sutton area,tribeca,2
2,chinatown,brooklyn-downtown,1
2,little italy,garment district,5
2,murray hill,little italy,2
2,JFK,soho,5
2,upper east side,upper east side,635
2,soho,JFK,6
2,financial district,yorkville,2
2,boerum hill,fort green,1
2,east village,clinton,3
2,LGA,washington heights,4
2,midtown,parkchester,1
2,little italy,LGA,2
2,soho,lower east side,16
2,west village,north sutton area,1
2,upper east side,forest hills,1
2,upper east side,yorkville,57
2,upper west side,upper east side,127
