YR--MODAHRMN,TEMP
201501010000,31
201501010051,30
201501010151,****
201501010251,29
201501010300,29
201501010351,29
201501010451,29
201501010459,29
201501010551,29
201501010600,29
201501010651,28
201501010751,29
201501010851,29
201501010900,29
201501010951,31
201501011051,33
201501011151,33
201501011200,34
201501011251,36
201501011351,38
201501011451,38
201501011500,39
201501011551,40
201501011651,39
201501011751,39
201501011800,39
201501011851,39
201501011951,39
201501012051,39
201501012100,38
201501012151,39
201501012251,38
201501012351,38
201501020000,37
201501020051,36
201501020151,****
201501020251,35
201501020300,35
201501020351,37
201501020451,36
201501020459,37
201501020551,37
201501020600,37
201501020651,37
201501020751,37
201501020851,37
201501020900,37
201501020951,39
201501021051,41
201501021151,41
201501021200,42
201501021251,43
201501021351,44
201501021451,44
201501021500,44
201501021551,44
201501021651,43
201501021751,43
201501021800,41
201501021851,41
201501021951,40
201501022051,40
201501022100,40
201501022151,40
201501022251,38
201501022351,38
201501030000,37
201501030051,35
201501030151,****
201501030251,35
201501030300,35
201501030351,33
201501030451,33
201501030459,32
201501030551,32
201501030600,31
201501030651,30
201501030751,31
201501030851,31
201501030900,32
201501030951,35
201501031051,37
201501031151,37
201501031200,39
201501031251,39
201501031351,39
201501031451,40
201501031500,40
201501031551,40
201501031651,39
201501031716,39
201501031751,39
201501031800,39
201501031851,39
201501031937,39
201501031951,39
201501032024,40
201501032051,42
201501032100,44
201501032104,44
201501032149,45
201501032151,44
201501032251,46
201501032351,46
201501040000,46
201501040049,46
201501040051,46
201501040149,46
201501040151,43
201501040251,****
201501040300,44
201501040302,44
201501040351,45
201501040451,44
201501040459,45
201501040551,45
201501040600,45
201501040649,45
201501040651,44
201501040751,45
201501040841,46
201501040851,46
201501040900,46
201501040951,46
201501041036,46
201501041051,46
201501041142,46
201501041151,47
201501041200,47
201501041251,48
201501041349,48
201501041351,48
201501041451,48
201501041500,50
201501041549,52
201501041551,51
201501041602,52
201501041622,52
201501041651,51
201501041748,54
201501041751,54
201501041754,54
201501041758,54
201501041800,52
201501041849,52
201501041851,52
201501041951,51
201501042022,50
201501042051,50
201501042100,50
201501042151,50
201501042251,50
