YR--MODAHRMN,MAX,MIN,PCP01,SD
201501010000,***,***,0,**
201501010051,34,28,0,**
201501010151,34,***,*****,0
201501010251,31,29,0,**
201501010300,34,28,*****,**
201501010351,***,***,0,**
201501010451,***,***,0,**
201501010459,***,***,0,**
201501010551,***,***,*****,**
201501010600,***,***,0,**
201501010651,***,***,0,**
201501010751,30,28,0,**
201501010851,34,28,*****,**
201501010900,***,***,0,**
201501010951,***,***,0,**
201501011051,***,***,0,**
201501011151,***,***,*****,**
201501011200,***,***,0,**
201501011251,***,***,0,**
201501011351,38,28,0,**
201501011451,38,28,*****,**
201501011500,***,***,0,**
201501011551,***,***,0,**
201501011651,***,***,0,**
201501011751,***,***,*****,**
201501011800,***,***,0,**
201501011851,***,***,0,**
201501011951,40,38,0,**
201501012051,40,28,*****,**
201501012100,***,***,0,**
201501012151,***,***,0,**
201501012251,***,***,0,**
201501012351,***,***,*****,**
201501020000,***,***,0,**
201501020051,40,28,0,**
201501020151,40,***,*****,0
201501020251,39,35,0,**
201501020300,39,28,*****,**
201501020351,***,***,0,**
201501020451,***,***,0,**
201501020459,***,***,0,**
201501020551,***,***,*****,**
201501020600,***,***,0,**
201501020651,***,***,0,**
201501020751,38,35,0,**
201501020851,40,35,*****,**
201501020900,***,***,0,**
201501020951,***,***,0,**
201501021051,***,***,0,**
201501021151,***,***,*****,**
201501021200,***,***,0,**
201501021251,***,***,0,**
201501021351,44,37,0,**
201501021451,44,37,*****,**
201501021500,***,***,0,**
201501021551,***,***,0,**
201501021651,***,***,0,**
201501021751,***,***,*****,**
201501021800,***,***,0,**
201501021851,***,***,0,**
201501021951,45,40,0,**
201501022051,45,35,*****,**
201501022100,***,***,0,**
201501022151,***,***,0,**
201501022251,***,***,0,**
201501022351,***,***,*****,**
201501030000,***,***,0,**
201501030051,45,35,0,**
201501030151,45,***,*****,0
201501030251,40,35,0,**
201501030300,40,35,*****,**
201501030351,***,***,0,**
201501030451,***,***,0,**
201501030459,***,***,0,**
201501030551,***,***,*****,**
201501030600,***,***,0,**
201501030651,***,***,0,**
201501030751,35,30,0,**
201501030851,45,30,*****,**
201501030900,***,***,0,**
201501030951,***,***,0,**
201501031051,***,***,0,**
201501031151,***,***,*****,**
201501031200,***,***,0,**
201501031251,***,***,0,**
201501031351,***,***,0,**
201501031451,40,31,0,**
201501031500,40,31,*****,**
201501031551,***,***,0.03,**
201501031651,***,***,0.05,**
201501031716,***,***,0.08,**
201501031751,***,***,0.04,**
201501031800,***,***,0.06,**
201501031851,***,***,*****,**
201501031937,***,***,0.02,**
201501031951,***,***,*****,**
201501032024,***,***,0.1,**
201501032051,***,***,0.15,**
201501032100,44,39,0.12,**
201501032104,44,30,*****,**
201501032149,***,***,*****,**
201501032151,***,***,0.1,**
201501032251,***,***,*****,**
201501032351,***,***,0.09,**
201501040000,***,***,0.06,**
201501040049,***,***,*****,**
201501040051,***,***,0.02,**
201501040149,***,***,0.08,**
201501040151,47,30,0.07,**
201501040251,47,***,*****,0
201501040300,47,43,0.11,**
201501040302,47,30,*****,**
201501040351,***,***,*****,**
201501040451,***,***,0.03,**
201501040459,***,***,0.01,**
201501040551,***,***,*****,**
201501040600,***,***,0,**
201501040649,***,***,*****,**
201501040651,***,***,0,**
201501040751,***,***,0,**
201501040841,***,***,0,**
201501040851,***,***,0,**
201501040900,46,***,0,**
201501040951,47,43,*****,**
201501041036,***,***,0.08,**
201501041051,***,***,*****,**
201501041142,***,***,0,**
201501041151,***,***,0,**
201501041200,***,***,*****,**
201501041251,***,***,*****,**
201501041349,***,***,0,**
201501041351,***,***,*****,**
201501041451,***,***,*****,**
201501041500,***,***,0.01,**
201501041549,***,***,0,**
201501041551,51,46,0,**
201501041602,***,***,0,**
201501041622,***,***,0,**
201501041651,51,39,*****,**
201501041748,***,***,*****,**
201501041751,***,***,0,**
201501041754,***,***,0,**
201501041758,***,***,*****,**
201501041800,***,***,0,T**
201501041849,***,***,*****,T**
201501041851,***,***,0,**
201501041951,***,***,0,**
201501042022,54,50,0,**
201501042051,54,44,*****,**
201501042100,***,***,0,**
201501042151,***,***,0,**
201501042251,***,***,*****,**
201501042351,***,***,0.02,**
201501050000,***,***,0.08,**
201501050025,***,***,0.17,**
201501050041,***,***,0.18,**
201501050049,***,***,0.03,**
201501050051,***,***,*****,**
201501050109,***,***,0,**
201501050138,55,43,0,**
201501050151,55,***,*****,0
201501050251,55,49,0,**
201501050300,55,44,*****,**
201501050351,***,***,0,**
201501050451,***,***,0,**
201501050459,***,***,0,**
201501050551,***,***,*****,**
201501050600,***,***,0,**
201501050651,***,***,0,**
201501050751,49,41,0,**
201501050851,55,41,*****,**
201501050900,***,***,0,**
201501050951,***,***,0,**
201501051051,***,***,0,**
201501051151,***,***,*****,**
201501051200,***,***,0,**
201501051251,***,***,0,**
201501051351,41,36,0,**
201501051451,49,36,*****,**
201501051500,***,***,0,**
201501051551,***,***,0,**
201501051651,***,***,0,**
201501051751,***,***,*****,**
201501051800,***,***,0,**
201501051851,***,***,0,**
201501051951,39,30,0,**
201501052051,41,30,*****,**
201501052100,***,***,0,**
201501052151,***,***,0,**
201501052251,***,***,0,**
201501052351,***,***,*****,**
201501060000,***,***,0,**
201501060051,51,23,0,**
201501060151,51,***,*****,0
201501060251,31,22,0,**
201501060300,49,22,*****,**
201501060351,***,***,0,**
201501060451,***,***,0,**
201501060459,***,***,0,**
201501060551,***,***,*****,**
201501060600,***,***,0,**
201501060651,***,***,0,**
201501060751,22,20,0,**
201501060851,51,20,*****,**
201501060900,***,***,0,**
201501060951,***,***,0,**
201501061051,***,***,*****,**
201501061151,***,***,0,**
201501061200,***,***,0,**
201501061251,***,***,0.01,**
201501061337,***,***,0.03,**
201501061349,***,***,*****,**
201501061351,***,***,0.01,**
201501061400,***,***,0.01,**
201501061428,***,***,0,**
201501061451,***,***,0.01,**
